timestamp,open,high,low,close,volume
1642980960000,14536.887,14537.099,14531.899,14533.287,87684
1642981020000,14533.079,14535.707,14529.349,14532.549,88114
1642981080000,14532.649,14536.419,14528.179,14532.129,81854
1642981140000,14532.187,14537.659,14528.919,14536.359,91168
1642981200000,14536.569,14536.569,14527.579,14531.089,63972
1642981260000,14531.389,14535.407,14528.199,14533.639,91562
1642981320000,14533.899,14533.909,14528.589,14531.357,65150
1642981380000,14531.259,14537.289,14530.329,14532.269,69956
1642981440000,14532.569,14538.389,14531.119,14536.609,78408
1642981500000,14536.617,14547.787,14534.289,14547.539,127304
1642981560000,14547.619,14549.689,14542.099,14547.839,119574
1642981620000,14548.289,14548.787,14539.329,14540.709,101780
1642981680000,14540.729,14546.799,14540.659,14545.717,94966
1642981740000,14545.199,14545.299,14540.809,14542.299,98720
1642981800000,14542.499,14544.097,14537.399,14543.109,101042
1642981860000,14543.559,14567.619,14543.159,14566.199,118904
1642981920000,14566.207,14572.899,14562.009,14569.709,128360
1642981980000,14569.789,14570.089,14562.719,14563.809,111768
1642982040000,14564.049,14569.587,14563.059,14567.619,90024
1642982100000,14567.677,14573.089,14567.119,14569.609,88994
1642982160000,14569.517,14571.489,14560.129,14560.389,96972
1642982220000,14560.377,14560.679,14542.119,14551.409,126336
1642982280000,14551.779,14560.099,14550.279,14560.099,92884
1642982340000,14559.857,14564.599,14555.359,14560.769,98698
1642982400000,14560.777,14564.389,14548.109,14551.589,120654
1642982460000,14551.607,14553.989,14541.149,14546.279,125886
1642982520000,14546.599,14552.317,14536.119,14537.589,117838
1642982580000,14537.899,14545.099,14534.299,14543.599,98588
1642982640000,14543.567,14553.907,14543.159,14550.409,105230
1642982700000,14550.377,14552.709,14532.289,14532.559,117920
1642982760000,14532.549,14537.297,14526.389,14536.399,136214
1642982820000,14536.307,14541.209,14535.099,14540.099,115892
1642982880000,14539.789,14539.789,14529.229,14533.289,114608
1642982940000,14534.039,14541.717,14530.039,14530.039,114698
1642983000000,14532.329,14538.879,14529.199,14536.149,111540
1642983060000,14536.157,14539.299,14531.669,14535.309,117970
1642983120000,14535.529,14540.399,14535.169,14536.019,108190
1642983180000,14536.067,14547.697,14534.779,14542.399,127043.99999999999
1642983240000,14542.397,14544.419,14538.809,14540.909,120472
1642983300000,14541.309,14552.709,14538.629,14552.699,139144
1642983360000,14552.789,14565.869,14551.629,14562.019,155130
1642983420000,14562.107,14564.279,14547.709,14551.519,119350
1642983480000,14551.849,14560.069,14550.619,14557.869,121526
1642983540000,14558.087,14558.087,14544.839,14549.609,116846
1642983600000,14549.537,14552.589,14547.719,14548.999,104006
1642983660000,14549.079,14559.339,14549.079,14558.079,97654
1642983720000,14557.609,14558.299,14547.349,14549.609,92988
1642983780000,14549.619,14554.999,14549.389,14552.899,95450
1642983840000,14552.877,14555.179,14551.719,14552.589,79530
1642983900000,14552.529,14556.317,14550.719,14556.029,82430
1642983960000,14556.289,14556.849,14550.739,14551.829,94600
1642984020000,14552.099,14567.797,14552.099,14563.059,128202.00000000001
1642984080000,14563.259,14563.287,14552.909,14554.359,113906
1642984140000,14554.357,14561.077,14553.609,14559.689,99404
1642984200000,14559.999,14560.289,14552.729,14554.189,111584
1642984260000,14554.147,14554.779,14549.899,14553.309,115104
1642984320000,14553.009,14554.499,14550.109,14551.109,94276
1642984380000,14551.599,14554.079,14548.839,14551.249,87816
1642984440000,14551.589,14557.119,14547.579,14549.389,104586
1642984500000,14549.567,14550.107,14545.129,14546.589,117654
1642984560000,14546.519,14552.887,14536.259,14540.309,114956
1642984620000,14540.379,14541.999,14537.539,14540.139,119016
1642984680000,14540.379,14543.597,14536.249,14537.689,107300
1642984740000,14538.649,14539.617,14530.419,14533.089,97662
1642984800000,14533.359,14539.899,14533.069,14537.599,119616
1642984860000,14537.149,14537.309,14526.909,14534.879,103076
1642984920000,14536.119,14543.299,14535.809,14540.389,137654
1642984980000,14540.689,14540.997,14532.799,14536.069,81130
1642985040000,14536.019,14536.397,14530.229,14532.339,90388
1642985100000,14532.759,14538.297,14524.219,14537.839,114270
1642985160000,14537.817,14543.557,14534.679,14535.999,110022
1642985220000,14536.059,14540.389,14534.219,14536.289,94270
1642985280000,14536.739,14538.199,14533.089,14533.089,78928
1642985340000,14534.059,14542.999,14533.629,14542.749,72704
1642985400000,14542.819,14543.097,14535.919,14540.369,89142
1642985460000,14540.397,14547.757,14537.279,14545.299,130938
1642985520000,14545.227,14549.197,14543.879,14548.809,97964
1642985580000,14548.829,14551.307,14544.609,14544.859,113520
1642985640000,14544.837,14546.917,14541.299,14544.309,94448
1642985700000,14544.689,14545.799,14540.629,14544.729,68356
1642985760000,14544.709,14549.289,14543.259,14548.539,75198
1642985820000,14548.567,14552.709,14547.059,14551.869,98102
1642985880000,14552.689,14552.689,14546.789,14547.169,91112
1642985940000,14547.187,14547.917,14544.809,14546.029,86578
1642986000000,14546.117,14546.399,14535.019,14541.809,121932
1642986060000,14541.717,14547.087,14538.799,14544.059,92702
1642986120000,14544.259,14551.887,14544.099,14550.059,96802
1642986180000,14550.077,14561.669,14548.719,14560.049,96152
1642986240000,14560.017,14566.099,14558.229,14559.369,140054
1642986300000,14559.609,14561.777,14556.749,14557.569,131069.99999999999
1642986360000,14557.597,14563.207,14555.419,14558.689,97498
1642986420000,14558.819,14563.999,14557.719,14562.579,108042
1642986480000,14563.019,14567.787,14561.719,14566.317,124832
1642986540000,14566.259,14566.259,14561.359,14562.767,107050
1642986600000,14562.709,14566.087,14555.159,14555.689,112076
1642986660000,14556.219,14558.489,14553.009,14556.649,96970
1642986720000,14556.759,14559.787,14555.729,14555.859,74808
1642986780000,14555.867,14558.289,14554.789,14556.299,73934
1642986840000,14555.799,14558.999,14554.849,14556.669,94758
1642986900000,14556.849,14558.609,14550.099,14551.829,117830
1642986960000,14552.209,14554.499,14551.379,14551.379,98724
1642987020000,14551.597,14557.149,14549.009,14557.149,80222
1642987080000,14557.387,14573.849,14555.749,14573.849,156352
1642987140000,14573.899,14582.897,14569.759,14581.589,138628
1642987200000,14581.709,14581.709,14575.639,14577.719,113064
1642987260000,14577.717,14580.087,14574.329,14579.389,113676
1642987320000,14579.167,14579.167,14575.129,14575.309,95956
1642987380000,14575.247,14577.889,14570.709,14574.149,111260
1642987440000,14574.187,14574.909,14569.229,14571.159,96234
1642987500000,14571.339,14573.209,14563.889,14564.509,82166
1642987560000,14564.699,14568.107,14563.739,14567.507,98966
1642987620000,14567.609,14569.097,14563.339,14568.567,91368
1642987680000,14568.329,14568.889,14565.339,14566.059,79098
1642987740000,14566.259,14568.899,14565.599,14567.089,88728
1642987800000,14566.857,14569.119,14560.629,14562.039,122842
1642987860000,14562.409,14567.789,14559.349,14567.359,112872
1642987920000,14567.387,14569.699,14563.419,14565.159,97542
1642987980000,14565.167,14575.809,14561.779,14574.889,111750
1642988040000,14575.289,14589.907,14574.029,14582.629,147302
1642988100000,14582.667,14586.499,14581.119,14582.289,102776
1642988160000,14582.579,14582.627,14575.669,14576.219,111624
1642988220000,14576.397,14577.269,14572.869,14574.089,111446
1642988280000,14574.149,14579.217,14570.029,14578.749,110892
1642988340000,14578.899,14578.917,14571.419,14572.889,107792
1642988400000,14573.097,14576.799,14571.609,14575.309,94962
1642988460000,14575.259,14577.989,14567.119,14571.299,89578
1642988520000,14571.599,14575.389,14568.389,14573.199,88658
1642988580000,14573.279,14573.669,14557.689,14559.817,115990
1642988640000,14559.379,14561.279,14555.309,14558.409,116876
1642988700000,14558.799,14563.599,14547.579,14555.029,122654
1642988760000,14554.809,14569.199,14553.879,14568.629,135232
1642988820000,14568.569,14572.899,14566.879,14568.179,107428
1642988880000,14568.127,14574.899,14563.839,14574.409,120296
1642988940000,14574.609,14577.897,14571.729,14575.869,105986
1642989000000,14576.039,14580.299,14568.769,14577.019,117232
1642989060000,14577.909,14580.589,14568.559,14579.149,136724
1642989120000,14579.499,14580.767,14573.519,14575.269,94428
1642989180000,14575.529,14581.997,14574.629,14575.129,105992
1642989240000,14575.289,14579.097,14573.309,14577.829,103138
1642989300000,14578.399,14580.099,14573.349,14575.247,76586
1642989360000,14575.119,14576.087,14571.209,14571.987,102192
1642989420000,14571.389,14572.289,14567.309,14569.867,96796
1642989480000,14569.759,14571.589,14565.389,14567.199,101934
1642989540000,14567.117,14573.399,14567.029,14572.059,113486
1642989600000,14572.679,14582.169,14569.859,14573.169,134742
1642989660000,14573.309,14573.499,14570.219,14570.309,80826
1642989720000,14568.689,14571.409,14564.299,14564.739,81156
1642989780000,14564.889,14566.797,14563.019,14565.999,87692
1642989840000,14566.099,14566.899,14560.599,14563.989,100864
1642989900000,14563.767,14566.499,14559.669,14566.119,101482
1642989960000,14566.187,14568.799,14563.239,14564.549,91766
1642990020000,14564.617,14565.999,14561.719,14564.359,72016
1642990080000,14565.239,14571.819,14564.709,14570.599,105670
1642990140000,14570.557,14570.787,14565.707,14569.319,81236
1642990200000,14569.359,14574.899,14567.329,14573.389,100404
1642990260000,14573.137,14573.289,14568.229,14570.119,81294
1642990320000,14570.259,14573.267,14566.309,14573.199,73490
1642990380000,14573.177,14573.299,14569.029,14571.849,79612
1642990440000,14573.099,14573.399,14566.499,14572.329,85952
1642990500000,14572.307,14584.989,14570.119,14578.219,134596
1642990560000,14578.679,14579.067,14567.879,14567.879,114488
1642990620000,14568.089,14568.189,14562.029,14565.259,113644
1642990680000,14565.989,14565.989,14557.319,14558.649,73524
1642990740000,14558.677,14560.897,14555.229,14557.859,108494
1642990800000,14558.289,14560.497,14553.559,14554.389,97406
1642990860000,14554.317,14560.989,14553.189,14560.559,96604
1642990920000,14559.719,14561.799,14556.209,14558.919,89936
1642990980000,14558.827,14559.219,14554.589,14557.377,77596
1642991040000,14556.509,14558.577,14543.069,14543.187,95402
1642991100000,14542.989,14549.809,14538.759,14546.009,131436
1642991160000,14546.119,14551.787,14546.119,14548.489,83798
1642991220000,14548.649,14551.089,14542.889,14547.739,78464
1642991280000,14547.729,14555.907,14547.299,14554.599,96122
1642991340000,14554.317,14557.099,14553.639,14554.029,81140
1642991400000,14554.569,14559.079,14551.219,14551.569,115962
1642991460000,14551.899,14555.899,14551.729,14555.729,74368
1642991520000,14555.767,14557.399,14551.589,14555.249,70710
1642991580000,14555.357,14556.819,14553.529,14554.879,89490
1642991640000,14555.049,14555.317,14549.209,14549.399,67524
1642991700000,14549.317,14554.897,14549.317,14553.159,89194
1642991760000,14553.239,14555.099,14551.049,14554.079,75710
1642991820000,14553.269,14555.797,14549.809,14553.739,60038
1642991880000,14553.919,14558.609,14553.227,14557.599,72186
1642991940000,14557.527,14564.407,14555.209,14564.299,98240
1642992000000,14564.027,14565.107,14561.119,14563.239,95738
1642992060000,14563.739,14564.999,14561.259,14562.589,76436
1642992120000,14562.517,14562.517,14557.319,14557.689,84470
1642992180000,14557.739,14561.279,14553.239,14561.229,74788
1642992240000,14561.547,14566.999,14559.869,14565.079,109996
1642992300000,14565.039,14568.289,14562.049,14567.039,93706
1642992360000,14567.047,14567.299,14562.609,14563.109,59944
1642992420000,14563.549,14564.759,14562.019,14563.149,57552
1642992480000,14563.187,14563.799,14557.259,14557.259,77076
1642992540000,14557.999,14562.199,14557.619,14558.597,69672
1642992600000,14558.309,14558.317,14546.029,14548.639,98752
1642992660000,14549.179,14551.589,14542.539,14546.259,91902
1642992720000,14546.799,14548.399,14544.629,14545.559,72774
1642992780000,14545.567,14545.589,14541.309,14543.589,87102
1642992840000,14544.059,14547.399,14543.009,14544.749,77712
1642992900000,14545.209,14548.487,14544.839,14545.579,62226
1642992960000,14545.797,14547.607,14544.619,14546.709,60476
1642993020000,14546.799,14547.607,14538.629,14540.749,95050
1642993080000,14540.777,14545.277,14538.139,14539.549,71588
1642993140000,14539.517,14540.709,14538.809,14539.799,63376
1642993200000,14540.069,14542.799,14538.509,14541.189,86052
1642993260000,14541.539,14544.169,14541.259,14543.059,64110
1642993320000,14543.097,14555.287,14538.119,14549.989,110828
1642993380000,14549.787,14549.889,14544.819,14546.059,97538
1642993440000,14546.077,14549.299,14541.339,14547.769,86690
1642993500000,14547.777,14551.909,14545.629,14550.089,95446
1642993560000,14550.047,14550.999,14545.267,14545.399,73690
1642993620000,14546.019,14548.299,14545.279,14545.569,67646
1642993680000,14546.899,14549.989,14546.759,14549.089,66040
1642993740000,14548.897,14549.887,14546.619,14549.679,59604
1642993800000,14549.667,14550.719,14548.549,14550.719,55234
1642993860000,14550.809,14559.989,14550.809,14556.169,120332
1642993920000,14556.299,14561.999,14556.209,14561.649,89182
1642993980000,14561.707,14561.997,14556.819,14557.687,83240
1642994040000,14557.359,14559.999,14556.049,14556.889,78378
1642994100000,14557.259,14560.299,14556.227,14556.799,66782
1642994160000,14556.899,14557.679,14555.639,14557.099,71206
1642994220000,14557.117,14557.387,14554.789,14556.269,55786
1642994280000,14556.549,14558.899,14556.189,14558.039,22258
1642998060000,14553.757,14554.099,14552.629,14553.539,25794
1642998120000,14553.577,14554.589,14552.889,14553.179,35450
1642998180000,14553.499,14553.499,14543.889,14546.809,57982
1642998240000,14547.599,14550.497,14546.229,14548.219,55942
1642998300000,14548.279,14548.899,14542.819,14543.289,73422
1642998360000,14543.047,14544.909,14542.719,14543.509,45248
1642998420000,14543.787,14549.287,14543.309,14548.999,51338
1642998480000,14548.817,14552.569,14547.319,14552.089,54028
1642998540000,14552.007,14553.409,14551.019,14551.419,55530
1642998600000,14551.357,14557.409,14550.539,14557.199,74044
1642998660000,14557.119,14558.899,14554.209,14556.499,85640
1642998720000,14556.277,14556.277,14551.559,14553.649,56664
1642998780000,14553.607,14553.607,14549.629,14549.709,38974
1642998840000,14549.889,14553.599,14549.749,14553.119,48628
1642998900000,14553.147,14555.187,14551.009,14554.509,48006
1642998960000,14554.419,14554.599,14551.989,14552.909,45688
1642999020000,14553.359,14553.889,14551.639,14552.119,35464
1642999080000,14552.879,14555.379,14552.219,14552.729,32810
1642999140000,14552.889,14556.299,14552.669,14554.269,45104
1642999200000,14554.339,14554.909,14552.599,14554.079,58334
1642999260000,14554.309,14555.599,14553.529,14553.819,37504
1642999320000,14554.097,14554.097,14548.129,14549.109,44976
1642999380000,14549.157,14551.689,14549.089,14550.879,36172
1642999440000,14551.039,14552.149,14549.269,14549.339,22274
1642999500000,14549.569,14554.799,14549.539,14551.639,36594
1642999560000,14552.049,14552.897,14549.329,14551.709,36164
1642999620000,14550.919,14550.987,14543.369,14546.189,53180
1642999680000,14546.167,14549.087,14545.779,14548.389,41148
1642999740000,14548.367,14548.799,14545.027,14545.027,43252
1642999800000,14544.789,14545.699,14539.669,14545.359,74110
1642999860000,14545.367,14545.499,14540.099,14542.809,53002
1642999920000,14543.149,14544.289,14540.809,14543.399,46152
1642999980000,14543.539,14544.159,14541.719,14542.769,32079.999999999996
1643000040000,14543.799,14543.799,14540.119,14540.649,41458
1643000100000,14540.889,14542.489,14539.659,14542.489,49180
1643000160000,14542.529,14546.599,14541.819,14546.599,56638
1643000220000,14546.547,14546.689,14543.719,14545.339,41888
1643000280000,14545.719,14546.489,14542.619,14544.389,45810
1643000340000,14544.397,14546.487,14543.769,14546.389,38472
1643000400000,14546.529,14550.099,14545.249,14545.249,73360
1643000460000,14545.287,14547.809,14543.299,14546.179,93304
1643000520000,14546.299,14547.309,14543.859,14546.569,70136
1643000580000,14546.557,14547.997,14545.279,14546.689,50692
1643000640000,14547.279,14549.999,14545.109,14549.769,45358
1643000700000,14549.747,14551.917,14548.309,14548.689,85370
1643000760000,14548.677,14552.497,14548.009,14552.079,75424
1643000820000,14552.159,14553.909,14548.679,14548.819,75900
1643000880000,14548.857,14549.087,14546.299,14547.699,61662
1643000940000,14548.269,14551.819,14547.879,14551.819,57668
1643001000000,14551.817,14554.707,14550.649,14552.129,52544
1643001060000,14552.117,14553.387,14550.659,14552.079,54514
1643001120000,14552.139,14552.289,14549.709,14551.629,50532
1643001180000,14551.607,14551.999,14545.839,14546.259,65790
1643001240000,14546.237,14547.739,14546.069,14547.019,52704
1643001300000,14547.169,14549.499,14546.129,14548.309,44648
1643001360000,14548.317,14548.317,14546.099,14548.097,39844
1643001420000,14547.889,14556.999,14547.759,14556.519,77118
1643001480000,14556.577,14557.887,14554.809,14556.709,60672
1643001540000,14557.259,14557.797,14553.029,14556.079,54934
1643001600000,14556.159,14561.697,14555.789,14560.409,73034
1643001660000,14560.417,14563.499,14559.349,14561.399,59156
1643001720000,14561.379,14563.669,14560.029,14562.369,61904
1643001780000,14562.559,14563.289,14561.209,14562.807,62252
1643001840000,14562.749,14563.809,14561.779,14562.519,61976
1643001900000,14562.537,14563.369,14561.839,14563.319,41440
1643001960000,14563.379,14563.859,14561.709,14563.859,34584
1643002020000,14564.789,14565.899,14564.009,14565.059,54804
1643002080000,14565.119,14565.899,14563.689,14564.289,48938
1643002140000,14564.179,14565.397,14560.339,14560.759,76910
1643002200000,14561.089,14567.019,14559.809,14566.109,70978
1643002260000,14566.117,14567.789,14564.869,14565.339,78094
1643002320000,14565.407,14565.407,14560.179,14560.179,67298
1643002380000,14560.329,14560.689,14559.099,14559.899,69462
1643002440000,14559.687,14561.099,14557.559,14560.739,73060
1643002500000,14560.649,14561.889,14558.809,14560.639,74718
1643002560000,14560.887,14560.887,14556.899,14557.989,66538
1643002620000,14558.079,14560.109,14558.029,14558.519,55932
1643002680000,14558.799,14558.807,14557.409,14558.659,47306
1643002740000,14558.647,14560.289,14558.219,14559.899,40124
1643002800000,14559.847,14561.189,14559.137,14560.789,47026
1643002860000,14560.547,14562.589,14559.529,14560.789,42026
1643002920000,14560.639,14560.889,14558.369,14559.729,46718
1643002980000,14559.899,14560.999,14556.919,14558.049,46998
1643003040000,14558.149,14559.689,14557.139,14559.619,55078
1643003100000,14559.887,14561.199,14558.549,14560.839,40846
1643003160000,14560.877,14560.899,14558.069,14558.379,42240
1643003220000,14558.407,14559.897,14555.829,14556.539,48508
1643003280000,14556.567,14556.567,14553.209,14554.119,48912
1643003340000,14554.197,14557.179,14553.359,14554.889,45568
1643003400000,14555.539,14560.387,14554.219,14559.839,58704
1643003460000,14559.837,14562.289,14558.169,14559.719,54746
1643003520000,14559.829,14561.597,14557.899,14559.899,58746
1643003580000,14559.907,14561.087,14558.559,14560.549,42618
1643003640000,14560.607,14560.607,14556.399,14557.799,54532
1643003700000,14557.739,14561.399,14557.409,14560.367,47020
1643003760000,14560.309,14560.897,14558.339,14558.919,58746
1643003820000,14559.097,14559.097,14556.819,14557.149,33550
1643003880000,14557.519,14560.597,14554.299,14558.899,58842
1643003940000,14558.647,14559.899,14556.229,14559.179,69284
1643004000000,14559.147,14559.147,14550.359,14554.109,82424
1643004060000,14554.599,14555.309,14542.609,14545.779,85548
1643004120000,14545.987,14551.899,14544.539,14545.659,87678
1643004180000,14545.859,14545.919,14543.149,14543.899,57256
1643004240000,14543.907,14546.089,14541.849,14545.279,82008
1643004300000,14545.579,14553.999,14545.549,14552.739,98392
1643004360000,14552.829,14556.689,14552.779,14555.849,64864.00000000001
1643004420000,14555.769,14555.999,14553.629,14553.669,48810
1643004480000,14553.697,14556.599,14550.719,14551.699,48196
1643004540000,14551.989,14556.899,14551.559,14556.619,41122
1643004600000,14556.679,14560.099,14556.049,14558.599,62992.00000000001
1643004660000,14558.567,14561.299,14556.609,14560.849,58734
1643004720000,14560.877,14561.619,14559.079,14559.719,53592
1643004780000,14559.779,14561.759,14558.869,14560.639,38640
1643004840000,14560.729,14561.099,14558.849,14560.679,58568
1643004900000,14561.089,14564.099,14560.089,14564.089,48742
1643004960000,14564.199,14564.617,14561.529,14561.529,43356
1643005020000,14561.899,14563.619,14561.679,14563.129,38512
1643005080000,14563.137,14563.399,14561.119,14563.309,26824
1643005140000,14563.317,14563.499,14559.269,14559.839,38390
1643005200000,14560.519,14562.209,14560.099,14562.209,40102
1643005260000,14562.299,14562.299,14560.649,14560.799,37080
1643005320000,14560.797,14560.797,14558.669,14559.389,36328
1643005380000,14559.099,14560.487,14558.279,14560.049,30620
1643005440000,14560.259,14562.779,14557.619,14561.659,37898
1643005500000,14562.329,14564.389,14561.829,14563.699,43772
1643005560000,14563.617,14564.289,14559.169,14560.719,42940
1643005620000,14560.349,14561.807,14560.089,14560.789,26794
1643005680000,14560.899,14562.367,14559.609,14562.257,24752
1643005740000,14561.899,14561.899,14558.089,14559.259,33846
1643005800000,14559.359,14560.599,14558.139,14560.089,44680
1643005860000,14560.219,14560.899,14559.079,14560.899,45124
1643005920000,14560.779,14562.897,14560.379,14561.909,29574
1643005980000,14561.807,14562.387,14560.649,14561.519,25196
1643006040000,14561.607,14562.387,14559.899,14560.089,28442
1643006100000,14560.087,14566.039,14559.579,14564.829,51942
1643006160000,14565.279,14568.259,14564.539,14568.259,39698
1643006220000,14568.289,14568.309,14562.099,14562.299,51324
1643006280000,14562.369,14566.489,14562.369,14565.109,47720
1643006340000,14565.119,14565.407,14557.239,14558.569,43500
1643006400000,14558.587,14558.587,14553.289,14554.569,75302
1643006460000,14555.019,14559.099,14555.019,14558.399,62098
1643006520000,14558.069,14559.299,14556.009,14556.709,40262
1643006580000,14556.687,14557.219,14554.009,14554.589,31956
1643006640000,14554.327,14555.899,14553.209,14555.519,33990
1643006700000,14555.659,14556.179,14553.349,14554.309,42928
1643006760000,14554.579,14556.489,14553.909,14554.269,41586
1643006820000,14554.319,14554.387,14550.379,14551.289,48078
1643006880000,14551.189,14551.189,14547.849,14549.309,44246
1643006940000,14549.257,14550.179,14546.749,14549.499,42746
1643007000000,14549.349,14549.789,14545.809,14546.119,58032
1643007060000,14546.579,14548.409,14544.249,14546.669,45692
1643007120000,14546.707,14547.799,14545.099,14547.799,37048
1643007180000,14547.607,14547.799,14544.659,14545.129,23598
1643007240000,14545.117,14547.269,14541.699,14545.789,68280
1643007300000,14545.997,14551.577,14545.259,14551.309,56508
1643007360000,14551.319,14552.849,14546.749,14548.169,65322.00000000001
1643007420000,14548.859,14552.597,14548.199,14552.069,41700
1643007480000,14552.077,14552.077,14545.369,14548.059,41482
1643007540000,14548.167,14550.089,14547.379,14547.379,30916
1643007600000,14548.119,14548.549,14533.299,14534.259,95344
1643007660000,14534.319,14534.319,14525.519,14525.519,116686
1643007720000,14525.719,14525.719,14520.129,14524.789,99940
1643007780000,14524.767,14524.887,14514.789,14517.069,105280
1643007840000,14517.159,14519.499,14512.089,14515.889,110582
1643007900000,14516.179,14523.899,14512.779,14520.319,100348
1643007960000,14521.349,14525.299,14519.719,14523.279,66620
1643008020000,14523.237,14524.699,14516.329,14524.609,80962
1643008080000,14524.557,14526.499,14520.029,14522.289,88132
1643008140000,14522.569,14526.489,14520.859,14522.879,84200
1643008200000,14522.857,14526.087,14520.089,14525.539,61440
1643008260000,14525.669,14526.407,14520.739,14521.299,67668
1643008320000,14521.119,14523.709,14517.849,14518.719,71616
1643008380000,14518.659,14526.597,14514.529,14525.399,95602
1643008440000,14525.309,14526.887,14517.129,14517.999,88176
1643008500000,14517.839,14522.347,14516.199,14521.399,83996
1643008560000,14521.147,14523.387,14520.049,14520.119,70538
1643008620000,14520.107,14522.709,14517.889,14519.909,93576
1643008680000,14519.849,14520.299,14515.679,14516.549,76022
1643008740000,14516.577,14516.577,14498.419,14498.759,124354
1643008800000,14498.779,14501.489,14489.169,14489.599,133820
1643008860000,14489.689,14494.157,14482.609,14487.239,125461.99999999999
1643008920000,14487.497,14491.289,14486.289,14488.349,90756
1643008980000,14488.587,14498.397,14488.079,14498.069,98314
1643009040000,14498.299,14504.397,14497.049,14504.009,94292
1643009100000,14504.119,14512.689,14499.109,14512.539,108128
1643009160000,14512.557,14512.887,14506.669,14509.339,108956
1643009220000,14509.809,14513.099,14508.419,14512.669,84616
1643009280000,14513.369,14523.587,14513.349,14517.109,93852
1643009340000,14517.209,14519.089,14513.359,14515.709,82604
1643009400000,14516.389,14518.389,14510.799,14516.059,105240
1643009460000,14516.149,14518.097,14511.889,14513.839,60780
1643009520000,14513.837,14517.387,14512.399,14517.289,69210
1643009580000,14517.027,14517.187,14513.699,14515.339,71872
1643009640000,14515.839,14516.077,14509.719,14513.109,79968
1643009700000,14513.087,14515.179,14510.669,14512.889,71300
1643009760000,14512.719,14514.409,14512.079,14514.409,54328
1643009820000,14514.337,14514.619,14506.269,14507.129,77476
1643009880000,14507.187,14507.189,14499.359,14503.839,91354
1643009940000,14503.847,14503.889,14495.349,14496.909,75764
1643010000000,14496.907,14501.997,14496.319,14497.679,80510
1643010060000,14497.607,14502.559,14495.389,14501.209,64054
1643010120000,14501.287,14501.997,14497.379,14499.329,79236
1643010180000,14499.749,14508.297,14498.599,14504.797,96512
1643010240000,14504.329,14512.499,14504.329,14510.799,85916
1643010300000,14510.547,14514.609,14507.319,14513.289,71896
1643010360000,14513.487,14513.487,14504.819,14505.819,60222
1643010420000,14505.817,14506.597,14500.829,14500.829,89484
1643010480000,14501.039,14505.289,14500.339,14504.219,70130
1643010540000,14504.207,14504.207,14495.739,14498.239,90826
1643010600000,14498.329,14508.399,14498.319,14499.849,73452
1643010660000,14500.299,14503.209,14493.819,14493.819,78536
1643010720000,14493.809,14502.599,14491.839,14498.239,76952
1643010780000,14498.267,14504.417,14497.669,14503.879,61920
1643010840000,14504.079,14510.389,14503.749,14507.399,63198.00000000001
1643010900000,14507.559,14513.099,14505.879,14512.129,89260
1643010960000,14512.299,14514.289,14510.219,14511.299,93312
1643011020000,14511.297,14520.887,14510.689,14519.679,101440
1643011080000,14519.617,14522.649,14512.099,14520.149,97964
1643011140000,14520.279,14532.819,14520.279,14523.649,147510
1643011200000,14523.779,14531.597,14515.999,14528.899,171292
1643011260000,14528.887,14528.887,14516.309,14523.809,170470
1643011320000,14524.059,14530.787,14519.909,14523.889,143526
1643011380000,14523.639,14540.889,14518.549,14536.639,151278
1643011440000,14536.887,14540.599,14533.509,14535.369,138906
1643011500000,14535.859,14539.787,14521.149,14523.289,159040
1643011560000,14524.157,14536.399,14523.399,14533.849,148972
1643011620000,14533.629,14535.719,14526.809,14532.759,129674.00000000001
1643011680000,14533.199,14536.207,14527.159,14531.839,133310
1643011740000,14531.877,14544.297,14525.199,14543.019,143230
1643011800000,14543.097,14547.907,14535.809,14542.839,155806
1643011860000,14543.309,14549.899,14539.129,14549.899,152264
1643011920000,14549.867,14553.679,14544.319,14551.779,129356
1643011980000,14551.239,14553.619,14546.389,14552.139,113380
1643012040000,14552.019,14558.879,14550.349,14556.109,114742
1643012100000,14556.599,14568.649,14551.329,14563.299,148552
1643012160000,14563.039,14579.689,14562.399,14576.749,161560
1643012220000,14576.759,14581.909,14569.609,14571.529,157806
1643012280000,14571.789,14579.809,14570.579,14579.167,126948
1643012340000,14578.189,14579.589,14571.089,14571.309,135410
1643012400000,14571.719,14578.899,14567.369,14578.569,139460
1643012460000,14578.787,14582.399,14573.789,14574.179,128388
1643012520000,14574.129,14576.707,14572.369,14576.659,126206.00000000001
1643012580000,14576.687,14584.887,14574.029,14575.617,117176
1643012640000,14575.329,14576.419,14570.319,14571.609,131324
1643012700000,14572.209,14574.829,14565.419,14567.079,130452.00000000001
1643012760000,14566.679,14568.407,14561.569,14563.329,116236
1643012820000,14563.377,14564.339,14558.649,14560.119,136938
1643012880000,14560.209,14571.399,14559.489,14570.409,126694
1643012940000,14570.367,14578.919,14563.409,14573.739,127130
1643013000000,14573.759,14578.049,14569.269,14572.529,143868
1643013060000,14572.389,14576.559,14570.639,14574.229,130908
1643013120000,14574.247,14578.299,14568.739,14570.669,124638
1643013180000,14570.809,14570.809,14558.659,14564.869,130610
1643013240000,14564.827,14564.827,14555.759,14559.219,109806
1643013300000,14559.127,14566.169,14558.399,14566.169,105270
1643013360000,14566.117,14566.117,14560.129,14562.319,101626
1643013420000,14562.327,14563.899,14557.919,14560.889,85236
